,Date,Trading_Strategy,Transaction_Type,Stock_price,Share,Transaction_amount,Return_money,Rate_of_Return
0,2020-02-05,KAMA5&SMA5^CMO,1,90.8499984741,187,16988,,
1,2020-03-12,KAMA5&SMA5^CMO,-1,82.1500015259,187,15362,-1626.0,-0.09564705882352942
2,2020-02-03,KAMA5&WMA5^AROONOSC,1,89.0500030518,269,23954,,
3,2020-05-25,KAMA5&WMA5^AROONOSC,-1,83.5,269,22461,-1492.0,-0.06216666666666667
4,2020-06-08,KAMA5&WMA5^AROONOSC,1,89.5,268,23986,,
5,2020-08-20,KAMA5&WMA5^AROONOSC,-1,100.5999984741,268,26960,2974.0,0.12391666666666666
6,2020-08-24,KAMA5&WMA5^AROONOSC,1,103.0999984741,232,23919,,
7,2020-09-10,KAMA5&WMA5^AROONOSC,-1,103.1999969482,232,23942,23.0,0.0009583333333333333
8,2020-09-22,KAMA5&WMA5^AROONOSC,1,103.0999984741,232,23919,,
9,2020-10-29,KAMA5&WMA5^AROONOSC,-1,103.8499984741,232,24093,174.0,0.00725
10,2020-02-03,KAMA5&WMA5^TEMA20&TEMA60,1,89.0500030518,269,23954,,
11,2020-10-27,KAMA5&WMA5^TEMA20&TEMA60,-1,105.5,269,28379,4425.0,0.184375
12,2020-11-02,KAMA5&WMA5^TEMA20&TEMA60,1,103.4000015259,232,23988,,
13,2020-12-23,KAMA5&WMA5^TEMA20&TEMA60,-1,118.1500015259,232,27410,3422.0,0.14258333333333334
14,2020-02-10,MA5&TEMA5^AROONOSC,1,91.0,49,4459,,
15,2020-05-25,MA5&TEMA5^AROONOSC,-1,83.5,49,4091,-367.0,-0.08155555555555556
16,2020-06-12,MA5&TEMA5^AROONOSC,1,88.25,50,4412,,
17,2020-08-20,MA5&TEMA5^AROONOSC,-1,100.5999984741,50,5029,617.0,0.1371111111111111
18,2020-08-31,MA5&TEMA5^AROONOSC,1,101.8000030518,44,4479,,
19,2020-09-10,MA5&TEMA5^AROONOSC,-1,103.1999969482,44,4540,61.0,0.013555555555555555
20,2020-09-21,MA5&TEMA5^AROONOSC,1,104.4499969482,43,4491,,
21,2020-10-29,MA5&TEMA5^AROONOSC,-1,103.8499984741,43,4465,-25.0,-0.005555555555555556
22,2020-01-16,MA5&WMA5^AROONOSC,1,97.3000030518,46,4475,,
23,2020-05-25,MA5&WMA5^AROONOSC,-1,83.5,46,3841,-634.0,-0.1408888888888889
24,2020-06-12,MA5&WMA5^AROONOSC,1,88.25,50,4412,,
25,2020-08-20,MA5&WMA5^AROONOSC,-1,100.5999984741,50,5029,617.0,0.1371111111111111
26,2020-08-31,MA5&WMA5^AROONOSC,1,101.8000030518,44,4479,,
27,2020-09-10,MA5&WMA5^AROONOSC,-1,103.1999969482,44,4540,61.0,0.013555555555555555
28,2020-09-21,MA5&WMA5^AROONOSC,1,104.4499969482,43,4491,,
29,2020-10-29,MA5&WMA5^AROONOSC,-1,103.8499984741,43,4465,-25.0,-0.005555555555555556
30,2020-02-17,TRIMA5&EMA10^AROONOSC,1,92.3000030518,48,4430,,
31,2020-05-25,TRIMA5&EMA10^AROONOSC,-1,83.5,48,4008,-422.0,-0.09377777777777778
32,2020-05-28,TRIMA5&EMA10^AROONOSC,1,83.8499984741,53,4444,,
33,2020-08-20,TRIMA5&EMA10^AROONOSC,-1,100.5999984741,53,5331,887.0,0.1971111111111111
34,2020-08-28,TRIMA5&EMA10^AROONOSC,1,103.5,43,4450,,
35,2020-09-10,TRIMA5&EMA10^AROONOSC,-1,103.1999969482,43,4437,-12.0,-0.0026666666666666666
36,2020-09-15,TRIMA5&EMA10^AROONOSC,1,104.9499969482,42,4407,,
37,2020-10-29,TRIMA5&EMA10^AROONOSC,-1,103.8499984741,42,4361,-46.0,-0.010222222222222223
38,2020-01-30,MA10&WMA10^AROONOSC,1,92.1500015259,227,20918,,
39,2020-05-25,MA10&WMA10^AROONOSC,-1,83.5,227,18954,-1963.0,-0.09347619047619048
40,2020-06-17,MA10&WMA10^AROONOSC,1,89.0,235,20915,,
41,2020-08-20,MA10&WMA10^AROONOSC,-1,100.5999984741,235,23640,2725.0,0.12976190476190477
42,2020-09-03,MA10&WMA10^AROONOSC,1,103.3000030518,203,20969,,
43,2020-09-10,MA10&WMA10^AROONOSC,-1,103.1999969482,203,20949,-20.0,-0.0009523809523809524
44,2020-09-23,MA10&WMA10^AROONOSC,1,102.9499969482,203,20898,,
45,2020-10-29,MA10&WMA10^AROONOSC,-1,103.8499984741,203,21081,182.0,0.008666666666666666
46,2020-01-30,MA10&WMA10^TEMA20&TEMA60,1,92.1500015259,184,16955,,
47,2020-10-27,MA10&WMA10^TEMA20&TEMA60,-1,105.5,184,19412,2456.0,0.14447058823529413
48,2020-12-01,MA10&WMA10^TEMA20&TEMA60,1,114.3000030518,148,16916,,
49,2020-12-23,MA10&WMA10^TEMA20&TEMA60,-1,118.1500015259,148,17486,569.0,0.03347058823529412
50,2020-01-30,SMA10&WMA10^AROONOSC,1,92.1500015259,227,20918,,
51,2020-05-25,SMA10&WMA10^AROONOSC,-1,83.5,227,18954,-1963.0,-0.09347619047619048
52,2020-06-17,SMA10&WMA10^AROONOSC,1,89.0,235,20915,,
53,2020-08-20,SMA10&WMA10^AROONOSC,-1,100.5999984741,235,23640,2725.0,0.12976190476190477
54,2020-09-03,SMA10&WMA10^AROONOSC,1,103.3000030518,203,20969,,
55,2020-09-10,SMA10&WMA10^AROONOSC,-1,103.1999969482,203,20949,-20.0,-0.0009523809523809524
56,2020-09-23,SMA10&WMA10^AROONOSC,1,102.9499969482,203,20898,,
57,2020-10-29,SMA10&WMA10^AROONOSC,-1,103.8499984741,203,21081,182.0,0.008666666666666666
58,2020-01-30,SMA10&WMA10^TEMA20&TEMA60,1,92.1500015259,48,4423,,
59,2020-10-27,SMA10&WMA10^TEMA20&TEMA60,-1,105.5,48,5064,640.0,0.14222222222222222
60,2020-12-01,SMA10&WMA10^TEMA20&TEMA60,1,114.3000030518,39,4457,,
61,2020-12-23,SMA10&WMA10^TEMA20&TEMA60,-1,118.1500015259,39,4607,150.0,0.03333333333333333
62,2020-01-30,TRIMA10&WMA10^AROONOSC,1,92.1500015259,227,20918,,
63,2020-05-25,TRIMA10&WMA10^AROONOSC,-1,83.5,227,18954,-1963.0,-0.09347619047619048
64,2020-06-15,TRIMA10&WMA10^AROONOSC,1,87.0,241,20967,,
65,2020-08-20,TRIMA10&WMA10^AROONOSC,-1,100.5999984741,241,24244,3277.0,0.15604761904761905
66,2020-08-31,TRIMA10&WMA10^AROONOSC,1,101.8000030518,206,20970,,
67,2020-09-10,TRIMA10&WMA10^AROONOSC,-1,103.1999969482,206,21259,288.0,0.013714285714285714
68,2020-09-22,TRIMA10&WMA10^AROONOSC,1,103.0999984741,203,20929,,
69,2020-10-29,TRIMA10&WMA10^AROONOSC,-1,103.8499984741,203,21081,152.0,0.007238095238095238
70,2020-02-19,TRIMA10&WMA20^CMO,1,92.0999984741,184,16946,,
71,2020-03-12,TRIMA10&WMA20^CMO,-1,82.1500015259,184,15115,-1830.0,-0.10764705882352942
