,Date,Trading_Strategy,Transaction_Type,Stock_price,Share,Transaction_amount,Return_money,Rate_of_Return
0,2022-01-10,MA5&TRIMA5^MA5&TRIMA5,1,147.5500030518,142,20952.100433355597,,
1,2022-01-14,MA5&TRIMA5^MA5&TRIMA5,-1,150.3000030518,142,21342.600433355597,390.0,0.018571428571428572
2,2022-01-25,MA5&TRIMA5^MA5&TRIMA5,1,141.6499938965,148,20964.199096682,,
3,2022-02-14,MA5&TRIMA5^MA5&TRIMA5,-1,142.6999969482,148,21119.5995483336,155.0,0.007380952380952381
4,2022-02-16,MA5&TRIMA5^MA5&TRIMA5,1,144.3999938965,145,20937.9991149925,,
5,2022-02-18,MA5&TRIMA5^MA5&TRIMA5,-1,144.1000061035,145,20894.5008850075,-43.0,-0.0020476190476190477
6,2022-03-01,MA5&TRIMA5^MA5&TRIMA5,1,140.4499969482,149,20927.049545281803,,
7,2022-03-03,MA5&TRIMA5^MA5&TRIMA5,-1,139.9499969482,149,20852.549545281803,-74.0,-0.0035238095238095237
8,2022-03-09,MA5&TRIMA5^MA5&TRIMA5,1,132.5,158,20935.0,,
9,2022-03-14,MA5&TRIMA5^MA5&TRIMA5,-1,134.3999938965,158,21235.199035647,300.0,0.014285714285714285
10,2022-03-16,MA5&TRIMA5^MA5&TRIMA5,1,132.1999969482,158,20887.5995178156,,
11,2022-03-21,MA5&TRIMA5^MA5&TRIMA5,-1,137.0,158,21646.0,758.0,0.0360952380952381
12,2022-03-23,MA5&TRIMA5^MA5&TRIMA5,1,138.1000061035,152,20991.200927732,,
13,2022-03-25,MA5&TRIMA5^MA5&TRIMA5,-1,138.1999969482,152,21006.399536126402,15.0,0.0007142857142857143
14,2022-03-30,MA5&TRIMA5^MA5&TRIMA5,1,138.5500030518,151,20921.0504608218,,
15,2022-04-01,MA5&TRIMA5^MA5&TRIMA5,-1,136.9499969482,151,20679.4495391782,-241.0,-0.011476190476190477
16,2022-04-08,MA5&TRIMA5^MA5&TRIMA5,1,134.5500030518,156,20989.8004760808,,
17,2022-04-15,MA5&TRIMA5^MA5&TRIMA5,-1,132.25,156,20631.0,-358.0,-0.017047619047619048
18,2022-04-19,MA5&TRIMA5^MA5&TRIMA5,1,132.0,159,20988.0,,
19,2022-04-22,MA5&TRIMA5^MA5&TRIMA5,-1,131.6000061035,159,20924.4009704565,-63.0,-0.003
20,2022-04-27,MA5&TRIMA5^MA5&TRIMA5,1,126.5500030518,165,20880.750503547002,,
21,2022-05-04,MA5&TRIMA5^MA5&TRIMA5,-1,127.8000030518,165,21087.000503547002,206.0,0.00980952380952381
22,2022-05-05,MA5&TRIMA5^MA5&TRIMA5,1,129.25,162,20938.5,,
23,2022-05-06,MA5&TRIMA5^MA5&TRIMA5,-1,126.6500015259,162,20517.3002471958,-421.0,-0.020047619047619047
24,2022-05-11,MA5&TRIMA5^MA5&TRIMA5,1,124.1999969482,169,20989.7994842458,,
25,2022-05-12,MA5&TRIMA5^MA5&TRIMA5,-1,121.25,169,20491.25,-498.0,-0.023714285714285716
26,2022-05-16,MA5&TRIMA5^MA5&TRIMA5,1,123.0,170,20910.0,,
27,2022-05-19,MA5&TRIMA5^MA5&TRIMA5,-1,123.3000030518,170,20961.000518806002,51.0,0.0024285714285714284
28,2022-05-23,MA5&TRIMA5^MA5&TRIMA5,1,124.9000015259,168,20983.2002563512,,
29,2022-05-25,MA5&TRIMA5^MA5&TRIMA5,-1,124.4499969482,168,20907.5994872976,-75.0,-0.0035714285714285713
30,2022-05-27,MA5&TRIMA5^MA5&TRIMA5,1,125.5,167,20958.5,,
31,2022-06-01,MA5&TRIMA5^MA5&TRIMA5,-1,129.1499938965,167,21568.048980715503,609.0,0.029
32,2022-06-07,MA5&TRIMA5^MA5&TRIMA5,1,127.4000015259,164,20893.6002502476,,
33,2022-06-10,MA5&TRIMA5^MA5&TRIMA5,-1,127.0999984741,164,20844.3997497524,-49.0,-0.0023333333333333335
34,2022-06-15,MA5&TRIMA5^MA5&TRIMA5,1,122.75,171,20990.25,,
35,2022-06-17,MA5&TRIMA5^MA5&TRIMA5,-1,120.8499984741,171,20665.3497390711,-324.0,-0.015428571428571429
36,2022-06-21,MA5&TRIMA5^MA5&TRIMA5,1,122.1999969482,171,20896.1994781422,,
37,2022-06-23,MA5&TRIMA5^MA5&TRIMA5,-1,117.9000015259,171,20160.9002609289,-735.0,-0.035
