,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,EMA60&WMA60^KAMA10&TRIMA60,EMA60&WMA60^KAMA10&WMA60,EMA60&WMA60^KAMA20&EMA60,EMA60&WMA60^MA20&EMA60,EMA60&WMA60^MA20&TRIMA60,EMA60&WMA60^SMA20&EMA60,EMA60&WMA60^TRIMA20&EMA60,EMA60&WMA60^WMA20&EMA60,EMA60&WMA60^DEMA60&EMA60,EMA60&WMA60^DEMA60&WMA60
0,2010-08-30,54.0999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2010-08-31,53.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2010-09-13,56.7999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2011-01-18,61.3499984741,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
4,2011-01-19,62.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2011-01-20,61.6500015259,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
6,2011-01-21,61.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2011-01-24,60.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2011-01-25,61.4500007629,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9,2011-01-26,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2011-01-27,62.4500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2011-01-28,63.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
12,2011-02-08,62.5999984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2010-09-14,57.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2011-02-09,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2011-02-10,60.8499984741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2011-02-11,58.9000015259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2011-02-14,59.4000015259,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
18,2011-02-15,59.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
