,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,EMA20&TEMA60^KAMA10&EMA60,EMA20&TEMA60^DEMA60&MA60,EMA20&TEMA60^DEMA60&SMA60,WMA20&TEMA60^DEMA60&EMA60,KAMA60&MA60^KAMA5&EMA60,KAMA60&MA60^EMA10&DEMA20,KAMA60&MA60^TRIMA60&WMA60,KAMA60&SMA60^EMA10&DEMA20,KAMA60&SMA60^TRIMA60&WMA60,KAMA60&TRIMA60^KAMA5&EMA60
0,2022-01-03,631.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-04,656.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-01-17,683.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,2022-06-08,544.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-06-09,541.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-06-10,530.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
6,2022-06-13,516.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2022-06-14,513.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-06-15,509.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
9,2022-06-16,508.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2022-06-17,501.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
11,2022-06-20,498.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2022-06-21,505.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
13,2022-01-18,662.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
14,2022-06-22,494.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2022-06-23,485.5,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
16,2022-06-24,486.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2022-06-27,498.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
18,2022-06-28,497.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2022-06-29,491.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
20,2022-06-30,476.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2022-07-01,453.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2022-07-04,440.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-07-05,446.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
24,2022-01-19,654.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2022-07-06,435.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2022-07-07,457.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2022-07-08,467.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2022-07-11,462.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
29,2022-07-12,449.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-07-13,470.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
31,2022-07-14,475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-07-15,492.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-07-18,495.5,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
34,2022-07-19,491.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2022-01-20,651.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-07-20,495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2022-07-21,501.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
38,2022-07-22,503.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2022-07-25,499.5,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
40,2022-07-26,495.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2022-07-27,502.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
42,2022-07-28,501.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-07-29,509.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-08-01,504.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
45,2022-08-02,492.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2022-01-21,641.0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
47,2022-08-03,501.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2022-08-04,500.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1
49,2022-08-05,516.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2022-08-08,512.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
51,2022-08-09,510.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2022-08-10,500.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2022-08-11,514.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
54,2022-08-12,517.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2022-08-15,523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2022-08-16,525.0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
57,2022-01-24,653.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2022-08-17,527.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2022-08-18,520.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-08-19,519.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2022-08-22,512.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2022-08-23,504.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,2022-08-24,503.0,-1,0,0,0,0,0,0,0,0,0,1,1,1,1,-1
64,2022-08-25,508.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
65,2022-08-26,512.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2022-08-29,498.5,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
67,2022-08-30,496.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2022-01-25,641.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2022-08-31,505.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
70,2022-09-01,490.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-09-02,485.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
72,2022-09-05,486.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2022-09-06,489.0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
74,2022-09-07,472.5,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
75,2022-09-08,475.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2022-09-12,486.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
77,2022-09-13,493.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2022-09-14,480.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
79,2022-01-26,636.0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
80,2022-09-15,476.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2022-09-16,472.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2022-09-19,467.0,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
83,2022-09-20,476.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2022-09-21,471.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
