,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
0,2022-01-17,MA5&TRIMA5^MA5&TRIMA5,1,20.7999992371,22000.0,,
1,2022-06-15,MA5&TRIMA5^MA5&TRIMA5,-1,21.1499996185,22000.0,370.0,0.01681818181818182
2,2022-06-20,MA5&TRIMA5^MA5&TRIMA5,1,19.4500007629,22000.0,,
3,2022-06-29,MA5&TRIMA5^MA5&TRIMA5,-1,20.0,22000.0,622.0,0.028272727272727272
4,2022-07-05,MA5&TRIMA5^MA5&TRIMA5,1,19.1499996185,22000.0,,
5,2022-01-19,MA5&TRIMA5^MA5&TRIMA5,-1,20.8500003815,22000.0,1953.0,0.08877272727272727
6,2022-07-07,MA5&TRIMA5^MA5&TRIMA5,-1,19.1000003815,22000.0,-57.0,-0.0025909090909090908
7,2022-07-13,MA5&TRIMA5^MA5&TRIMA5,1,17.7999992371,22000.0,,
8,2022-07-18,MA5&TRIMA5^MA5&TRIMA5,-1,18.2000007629,22000.0,494.0,0.022454545454545456
9,2022-07-21,MA5&TRIMA5^MA5&TRIMA5,1,19.25,22000.0,,
10,2022-07-25,MA5&TRIMA5^MA5&TRIMA5,-1,18.7000007629,22000.0,-628.0,-0.028545454545454544
11,2022-07-27,MA5&TRIMA5^MA5&TRIMA5,1,18.6499996185,22000.0,,
12,2022-08-02,MA5&TRIMA5^MA5&TRIMA5,-1,19.1000003815,22000.0,530.0,0.02409090909090909
13,2022-01-21,MA5&TRIMA5^MA5&TRIMA5,1,21.3500003815,22000.0,,
14,2022-08-05,MA5&TRIMA5^MA5&TRIMA5,1,18.8999996185,22000.0,,
15,2022-08-09,MA5&TRIMA5^MA5&TRIMA5,-1,19.1000003815,22000.0,232.0,0.010545454545454545
16,2022-08-10,MA5&TRIMA5^MA5&TRIMA5,1,19.1499996185,22000.0,,
17,2022-08-11,MA5&TRIMA5^MA5&TRIMA5,-1,19.1000003815,22000.0,-57.0,-0.0025909090909090908
18,2022-08-15,MA5&TRIMA5^MA5&TRIMA5,1,19.6499996185,22000.0,,
19,2022-01-24,MA5&TRIMA5^MA5&TRIMA5,-1,20.9500007629,22000.0,1455.0,0.06613636363636363
20,2022-08-17,MA5&TRIMA5^MA5&TRIMA5,-1,19.7000007629,22000.0,55.0,0.0025
21,2022-08-19,MA5&TRIMA5^MA5&TRIMA5,1,19.8500003815,22000.0,,
22,2022-08-23,MA5&TRIMA5^MA5&TRIMA5,-1,20.1000003815,22000.0,277.0,0.01259090909090909
23,2022-08-25,MA5&TRIMA5^MA5&TRIMA5,1,21.3999996185,22000.0,,
24,2022-08-30,MA5&TRIMA5^MA5&TRIMA5,-1,24.2000007629,22000.0,2878.0,0.1308181818181818
25,2022-09-07,MA5&TRIMA5^MA5&TRIMA5,1,22.2000007629,22000.0,,
26,2022-09-13,MA5&TRIMA5^MA5&TRIMA5,-1,23.0499992371,22000.0,842.0,0.03827272727272727
27,2022-09-14,MA5&TRIMA5^MA5&TRIMA5,1,24.0,22000.0,,
28,2022-01-26,MA5&TRIMA5^MA5&TRIMA5,1,20.6000003815,22000.0,,
29,2022-09-16,MA5&TRIMA5^MA5&TRIMA5,-1,23.3500003815,22000.0,2936.0,0.13345454545454546
30,2022-09-20,MA5&TRIMA5^MA5&TRIMA5,1,24.25,22000.0,,
31,2022-09-22,MA5&TRIMA5^MA5&TRIMA5,-1,24.5,22000.0,226.0,0.010272727272727272
32,2022-09-27,MA5&TRIMA5^MA5&TRIMA5,1,23.6000003815,22000.0,,
33,2022-09-28,MA5&TRIMA5^MA5&TRIMA5,-1,21.2999992371,22000.0,-2144.0,-0.09745454545454546
34,2022-09-30,MA5&TRIMA5^MA5&TRIMA5,1,22.75,22000.0,,
35,2022-10-05,MA5&TRIMA5^MA5&TRIMA5,-1,23.7999992371,22000.0,1015.0,0.046136363636363635
36,2022-10-12,MA5&TRIMA5^MA5&TRIMA5,1,24.75,22000.0,,
37,2022-10-18,MA5&TRIMA5^MA5&TRIMA5,-1,26.3999996185,22000.0,1466.0,0.06663636363636363
38,2022-10-21,MA5&TRIMA5^MA5&TRIMA5,1,25.3999996185,22000.0,,
39,2022-10-25,MA5&TRIMA5^MA5&TRIMA5,-1,24.75,22000.0,-562.0,-0.025545454545454545
40,2022-10-27,MA5&TRIMA5^MA5&TRIMA5,1,24.6499996185,22000.0,,
41,2022-02-09,MA5&TRIMA5^MA5&TRIMA5,-1,22.1000003815,22000.0,-2275.0,-0.10340909090909091
42,2022-11-03,MA5&TRIMA5^MA5&TRIMA5,-1,26.4500007629,22000.0,1606.0,0.073
43,2022-11-07,MA5&TRIMA5^MA5&TRIMA5,1,27.25,22000.0,,
44,2022-11-08,MA5&TRIMA5^MA5&TRIMA5,-1,26.6499996185,22000.0,-484.0,-0.022
45,2022-11-14,MA5&TRIMA5^MA5&TRIMA5,1,27.2999992371,22000.0,,
46,2022-11-16,MA5&TRIMA5^MA5&TRIMA5,-1,26.5,22000.0,-644.0,-0.029272727272727273
47,2022-11-17,MA5&TRIMA5^MA5&TRIMA5,1,27.1000003815,22000.0,,
48,2022-11-22,MA5&TRIMA5^MA5&TRIMA5,-1,28.8500003815,22000.0,1420.0,0.06454545454545454
49,2022-11-28,MA5&TRIMA5^MA5&TRIMA5,1,28.4500007629,22000.0,,
50,2022-12-02,MA5&TRIMA5^MA5&TRIMA5,-1,29.0,22000.0,425.0,0.019318181818181818
51,2022-12-07,MA5&TRIMA5^MA5&TRIMA5,1,28.25,22000.0,,
52,2022-12-12,MA5&TRIMA5^MA5&TRIMA5,-1,28.6000003815,22000.0,272.0,0.012363636363636363
53,2022-02-16,MA5&TRIMA5^MA5&TRIMA5,1,22.7999992371,22000.0,,
54,2022-02-18,MA5&TRIMA5^MA5&TRIMA5,-1,22.5,22000.0,-289.0,-0.013136363636363637
55,2022-02-21,MA5&TRIMA5^MA5&TRIMA5,1,22.3999996185,22000.0,,
56,2022-02-22,MA5&TRIMA5^MA5&TRIMA5,-1,21.3999996185,22000.0,-982.0,-0.044636363636363634
57,2022-02-25,MA5&TRIMA5^MA5&TRIMA5,1,20.3999996185,22000.0,,
58,2022-03-03,MA5&TRIMA5^MA5&TRIMA5,-1,21.2999992371,22000.0,970.0,0.04409090909090909
59,2022-03-09,MA5&TRIMA5^MA5&TRIMA5,1,20.3999996185,22000.0,,
60,2022-03-11,MA5&TRIMA5^MA5&TRIMA5,-1,20.25,22000.0,-161.0,-0.007318181818181818
61,2022-03-16,MA5&TRIMA5^MA5&TRIMA5,1,20.0,22000.0,,
62,2022-03-21,MA5&TRIMA5^MA5&TRIMA5,-1,20.6499996185,22000.0,714.0,0.03245454545454545
