,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,KAMA10&MA60^DEMA60&TEMA60,KAMA10&SMA60^DEMA60&TEMA60,EMA20&DEMA60^KAMA10&EMA60,EMA20&DEMA60^DEMA20&EMA60,EMA20&DEMA60^EMA20&MA60,EMA20&DEMA60^TRIMA20&MA60,EMA20&DEMA60^TRIMA20&SMA60,EMA20&DEMA60^WMA20&EMA60,EMA20&DEMA60^WMA20&MA60,EMA20&DEMA60^WMA20&SMA60
0,2022-01-03,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-04,23.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-01-17,20.7999992371,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
3,2022-06-08,19.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-06-09,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-06-10,20.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2022-06-13,20.8500003815,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2022-06-14,21.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-06-15,21.1499996185,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
9,2022-06-16,20.1499996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2022-06-17,20.5499992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2022-06-20,19.4500007629,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
12,2022-06-21,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2022-01-18,20.8500003815,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2022-06-22,19.2999992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2022-06-23,19.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2022-06-24,19.5499992371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2022-06-27,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2022-06-28,19.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2022-06-29,20.0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
20,2022-06-30,19.4500007629,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2022-07-01,18.8999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2022-07-04,18.6499996185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-07-05,19.1499996185,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
24,2022-01-19,20.8500003815,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
25,2022-07-06,18.6000003815,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2022-07-07,19.1000003815,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
27,2022-07-08,18.6499996185,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2022-07-11,18.3999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2022-07-12,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-07-13,17.7999992371,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
31,2022-07-14,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-07-15,18.1499996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-07-18,18.2000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
34,2022-07-19,18.3999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2022-01-20,21.6000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2022-07-20,18.3999996185,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2022-07-21,19.25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
38,2022-07-22,19.0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2022-07-25,18.7000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
40,2022-07-26,18.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2022-07-27,18.6499996185,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
42,2022-07-28,18.7000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2022-07-29,19.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-08-01,19.3500003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2022-08-02,19.1000003815,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
46,2022-01-21,21.3500003815,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
47,2022-08-03,18.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2022-08-04,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2022-08-05,18.8999996185,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
50,2022-08-08,18.6499996185,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2022-08-09,19.1000003815,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
52,2022-08-10,19.1499996185,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
53,2022-08-11,19.1000003815,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
54,2022-08-12,19.3999996185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2022-08-15,19.6499996185,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
56,2022-08-16,19.8500003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2022-01-24,20.9500007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
58,2022-08-17,19.7000007629,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
59,2022-08-18,19.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2022-08-19,19.8500003815,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
61,2022-08-22,20.6000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2022-08-23,20.1000003815,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
63,2022-08-24,20.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2022-08-25,21.3999996185,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
65,2022-08-26,22.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2022-08-29,24.0499992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2022-08-30,24.2000007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
68,2022-01-25,20.3999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,2022-08-31,24.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2022-09-01,23.6000003815,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2022-09-02,23.3500003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,2022-09-05,22.9500007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,2022-09-06,21.8999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2022-09-07,22.2000007629,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
75,2022-09-08,23.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2022-09-12,23.0499992371,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2022-09-13,23.0499992371,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
78,2022-09-14,24.0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
79,2022-01-26,20.6000003815,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
80,2022-09-15,23.3999996185,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2022-09-16,23.3500003815,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
82,2022-09-19,22.7999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2022-09-20,24.25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
84,2022-09-21,24.8500003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2022-09-22,24.5,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
86,2022-09-23,24.1499996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2022-09-26,22.6499996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2022-09-27,23.6000003815,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
89,2022-09-28,21.2999992371,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
90,2022-02-07,21.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2022-09-29,22.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2022-09-30,22.75,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
93,2022-10-03,23.2999992371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,2022-10-04,24.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,2022-10-05,23.7999992371,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
96,2022-10-06,24.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,2022-10-07,24.25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,2022-10-11,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,2022-10-12,24.75,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
100,2022-10-13,23.8500003815,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,2022-02-08,21.8999996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,2022-10-14,26.2000007629,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2022-10-17,26.6000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2022-10-18,26.3999996185,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
105,2022-10-19,25.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2022-10-20,25.6499996185,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,2022-10-21,25.3999996185,-1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
108,2022-10-24,25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2022-10-25,24.75,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
110,2022-10-26,23.6000003815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,2022-10-27,24.6499996185,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
112,2022-01-05,22.2000007629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,2022-02-09,22.1000003815,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
114,2022-10-28,23.6000003815,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,2022-10-31,25.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2022-11-01,26.1499996185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,2022-11-02,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,2022-11-03,26.4500007629,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0
