,Date,close,MACD^STOCH,CCI^STOCH,MA5&MA10^STOCH,MA5&MA10^MA5&MA15,MA5&MA15^STOCH,MA5&MA15^MA5&MA15,MA5&MA15^MA10&MA15,MA5&MA15^MA10&MA30,MA10&MA15^MACD,MA10&MA15^STOCH,MA10&MA15^MA5&MA30,MA10&MA30^STOCH,MA10&MA30^MA5&MA15,MA15&MA30^STOCH,MA15&MA30^MA5&MA15
0,2010-08-30,18.2600326538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2010-08-31,17.7993431091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2010-09-01,18.8044834137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2010-09-02,18.9301242828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2010-09-03,18.7626018524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2010-09-06,18.4694366455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2010-09-07,18.343793869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2010-09-08,18.0087471008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2010-09-09,17.2130126953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2010-09-10,17.5061779022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2010-09-13,18.1762695312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2010-09-14,18.0087471008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2010-09-15,18.2600326538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2010-09-16,18.3019123077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2010-09-17,18.9720058441,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15,2010-09-20,18.8463630676,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
16,2010-09-21,18.5531978607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2010-09-23,18.2600326538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2010-09-24,18.0506286621,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
19,2010-09-27,18.2181510925,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2010-09-28,18.343793869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2010-09-29,18.5950775146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2010-09-30,18.5113162994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2010-10-01,18.3856735229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2010-10-04,18.5531978607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2010-10-05,19.265171051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,2010-10-06,19.5583362579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2010-10-07,19.265171051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,2010-10-08,18.8463630676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2010-10-11,18.6788406372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2010-10-12,18.7626018524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2010-10-13,18.7207202911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2010-10-14,18.8463630676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2010-10-15,18.9301242828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2010-10-18,18.6788406372,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
35,2010-10-19,18.6788406372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2010-10-20,19.0138874054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2010-10-21,19.516456604,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
38,2010-10-22,19.6002178192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2010-10-25,20.7728805542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2010-10-26,20.7310009003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2010-10-27,21.3173313141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2010-10-28,21.7361392975,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0
43,2010-10-29,21.3592128754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2010-11-01,21.9455432892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,2010-11-02,21.610496521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2010-11-03,21.610496521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2010-11-04,21.6942577362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2010-11-05,21.0241641998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,2010-11-08,21.1079273224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,2010-11-09,21.1079273224,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
51,2010-11-10,20.2284297943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2010-11-11,20.2703113556,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0
53,2010-11-12,19.8933849335,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
54,2010-11-15,19.8933849335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,2010-11-16,19.4745750427,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
56,2010-11-17,19.3070526123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2010-11-18,20.6472377777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2010-11-19,20.8147602081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2010-11-22,21.9036617279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,2010-11-23,22.2805900574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,2010-11-24,22.1130657196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2010-11-25,22.0293045044,-1,-1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0
63,2010-11-26,21.2335681915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2010-11-29,21.3592128754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,2010-11-30,21.4848537445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,2010-12-01,21.4429721832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,2010-12-02,21.8199005127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,2010-12-03,21.3592128754,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1
69,2010-12-06,21.610496521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2010-12-07,21.5267353058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2010-12-08,21.3592128754,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
72,2010-12-09,21.6523761749,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1
73,2010-12-10,21.861782074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,2010-12-13,22.1130657196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2010-12-14,22.2387084961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,2010-12-15,22.1549472809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,2010-12-16,22.6156368256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,2010-12-17,22.5737552643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2010-12-20,22.3224697113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,2010-12-21,23.4113712311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,2010-12-22,24.2908687592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,2010-12-23,24.0395832062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2010-12-24,23.9977035522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,2010-12-27,23.9139404297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,2010-12-28,23.8301792145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,2010-12-29,25.128484726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,2010-12-30,25.7985782623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,2010-12-31,25.3797683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2011-01-03,25.9242191315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,2011-01-04,25.5472927094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,2011-01-05,24.3746299744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,2011-01-06,25.0866031647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
