,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
0,2010-10-21,MACD^STOCH,1,19.516456604,11500.0,,
1,2010-10-28,MACD^STOCH,-1,21.7361392975,11500.0,1307,0.11365217391304348
2,2010-11-23,MACD^STOCH,1,22.2805900574,11500.0,,
3,2010-11-25,MACD^STOCH,-1,22.0293045044,11500.0,-129,-0.011217391304347827
4,2010-12-14,MACD^STOCH,1,22.2387084961,11500.0,,
5,2011-01-14,MACD^STOCH,-1,25.0447235107,11500.0,1451,0.12617391304347825
6,2011-03-22,MACD^STOCH,1,20.6053562164,11500.0,,
7,2011-03-24,MACD^STOCH,-1,20.8566417694,11500.0,140,0.01217391304347826
8,2011-04-21,MACD^STOCH,1,21.7361392975,11500.0,,
9,2011-04-27,MACD^STOCH,-1,22.9088020325,11500.0,620,0.05391304347826087
10,2011-06-30,MACD^STOCH,1,19.3489322662,11500.0,,
11,2011-08-18,MACD^STOCH,-1,15.2027330399,11500.0,-2464,-0.2142608695652174
12,2011-09-09,MACD^STOCH,1,14.6037054062,11500.0,,
13,2011-10-17,MACD^STOCH,-1,15.7093477249,11500.0,870,0.07565217391304348
14,2011-12-05,MACD^STOCH,1,13.6362667084,11500.0,,
15,2011-12-28,MACD^STOCH,-1,14.3272943497,11500.0,582,0.050608695652173914
16,2011-12-30,MACD^STOCH,1,14.096950531,11500.0,,
17,2012-02-08,MACD^STOCH,-1,17.598154068,11500.0,2856,0.24834782608695652
18,2012-02-29,MACD^STOCH,1,18.9802093506,11500.0,,
19,2012-03-02,MACD^STOCH,-1,19.3487567902,11500.0,223,0.019391304347826085
20,2012-05-02,MACD^STOCH,1,16.3543071747,11500.0,,
21,2012-06-18,MACD^STOCH,-1,14.3733615875,11500.0,-1392,-0.12104347826086957
22,2012-07-02,MACD^STOCH,1,14.8801145554,11500.0,,
23,2012-07-06,MACD^STOCH,-1,15.110458374,11500.0,178,0.015478260869565217
24,2012-08-01,MACD^STOCH,1,15.6632785797,11500.0,,
25,2012-08-03,MACD^STOCH,-1,15.4329366684,11500.0,-169,-0.014695652173913044
26,2012-09-17,MACD^STOCH,1,15.4790058136,11500.0,,
27,2012-10-19,MACD^STOCH,-1,14.649772644,11500.0,-616,-0.05356521739130435
28,2012-11-01,MACD^STOCH,1,14.649772644,11500.0,,
29,2012-11-08,MACD^STOCH,-1,15.0183210373,11500.0,289,0.025130434782608697
30,2012-11-26,MACD^STOCH,1,15.5250740051,11500.0,,
31,2012-11-29,MACD^STOCH,-1,15.4329366684,11500.0,-68,-0.00591304347826087
32,2010-09-27,CCI^STOCH,1,18.2181510925,5500.0,,
33,2010-10-28,CCI^STOCH,-1,21.7361392975,5500.0,1062,0.1930909090909091
34,2010-11-19,CCI^STOCH,1,20.8147602081,5500.0,,
35,2010-11-25,CCI^STOCH,-1,22.0293045044,5500.0,320,0.05818181818181818
36,2010-12-10,CCI^STOCH,1,21.861782074,5500.0,,
