Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
102,2010-09-17,MA5&MA10^MA5&MA15,1,18.9720058441,79500.0,,
297,2010-09-24,MA10&MA15^STOCH,1,18.0506286621,3000.0,,
32,2010-09-27,CCI^STOCH,1,18.2181510925,5500.0,,
103,2010-10-18,MA5&MA10^MA5&MA15,-1,18.6788406372,79500.0,-1228.0,-0.0154465408805031
0,2010-10-21,MACD^STOCH,1,19.516456604,11500.0,,
104,2010-10-21,MA5&MA10^MA5&MA15,1,19.516456604,79500.0,,
1,2010-10-28,MACD^STOCH,-1,21.7361392975,11500.0,1307.0,0.1136521739130434
298,2010-10-28,MA10&MA15^STOCH,-1,21.7361392975,3000.0,612.0,0.204
33,2010-10-28,CCI^STOCH,-1,21.7361392975,5500.0,1062.0,0.1930909090909091
105,2010-11-11,MA5&MA10^MA5&MA15,-1,20.2703113556,79500.0,3070.0,0.0386163522012578
34,2010-11-19,CCI^STOCH,1,20.8147602081,5500.0,,
106,2010-11-22,MA5&MA10^MA5&MA15,1,21.9036617279,79500.0,,
2,2010-11-23,MACD^STOCH,1,22.2805900574,11500.0,,
35,2010-11-25,CCI^STOCH,-1,22.0293045044,5500.0,320.0,0.0581818181818181
3,2010-11-25,MACD^STOCH,-1,22.0293045044,11500.0,-129.0,-0.0112173913043478
299,2010-11-25,MA10&MA15^STOCH,1,22.0293045044,3000.0,,
107,2010-12-09,MA5&MA10^MA5&MA15,-1,21.6523761749,79500.0,-912.0,-0.0114716981132075
36,2010-12-10,CCI^STOCH,1,21.861782074,5500.0,,
4,2010-12-14,MACD^STOCH,1,22.2387084961,11500.0,,
108,2011-01-13,MA5&MA10^MA5&MA15,1,26.1336231232,79500.0,,
37,2011-01-14,CCI^STOCH,-1,25.0447235107,5500.0,800.0,0.1454545454545454
5,2011-01-14,MACD^STOCH,-1,25.0447235107,11500.0,1451.0,0.1261739130434782
300,2011-01-14,MA10&MA15^STOCH,-1,25.0447235107,3000.0,410.0,0.1366666666666666
109,2011-01-18,MA5&MA10^MA5&MA15,-1,24.7515563965,79500.0,-4204.0,-0.052880503144654
38,2011-01-26,CCI^STOCH,1,25.128484726,5500.0,,
110,2011-01-27,MA5&MA10^MA5&MA15,1,25.5472927094,79500.0,,
39,2011-02-08,CCI^STOCH,-1,25.0447235107,5500.0,-18.0,-0.0032727272727272
301,2011-02-11,MA10&MA15^STOCH,1,23.5370140076,3000.0,,
111,2011-02-14,MA5&MA10^MA5&MA15,-1,24.7934379578,79500.0,-2345.0,-0.0294968553459119
112,2011-03-04,MA5&MA10^MA5&MA15,1,22.4481124878,79500.0,,
6,2011-03-22,MACD^STOCH,1,20.6053562164,11500.0,,
40,2011-03-23,CCI^STOCH,1,20.5634765625,5500.0,,
302,2011-03-24,MA10&MA15^STOCH,-1,20.8566417694,3000.0,-341.0,-0.1136666666666666
41,2011-03-24,CCI^STOCH,-1,20.8566417694,5500.0,78.0,0.0141818181818181
7,2011-03-24,MACD^STOCH,-1,20.8566417694,11500.0,140.0,0.0121739130434782
303,2011-03-30,MA10&MA15^STOCH,1,20.7728805542,3000.0,,
8,2011-04-21,MACD^STOCH,1,21.7361392975,11500.0,,
9,2011-04-27,MACD^STOCH,-1,22.9088020325,11500.0,620.0,0.0539130434782608
304,2011-04-27,MA10&MA15^STOCH,-1,22.9088020325,3000.0,308.0,0.1026666666666666
113,2011-05-16,MA5&MA10^MA5&MA15,-1,22.2805900574,79500.0,-593.0,-0.0074591194968553
42,2011-05-31,CCI^STOCH,1,22.4062328339,5500.0,,
114,2011-06-01,MA5&MA10^MA5&MA15,1,22.0711860657,79500.0,,
43,2011-06-02,CCI^STOCH,-1,21.4429721832,5500.0,-236.0,-0.0429090909090909
115,2011-06-07,MA5&MA10^MA5&MA15,-1,21.1498088837,79500.0,-3318.0,-0.0417358490566037
305,2011-06-09,MA10&MA15^STOCH,1,21.0241641998,3000.0,,
10,2011-06-30,MACD^STOCH,1,19.3489322662,11500.0,,
116,2011-06-30,MA5&MA10^MA5&MA15,1,19.3489322662,79500.0,,
44,2011-07-01,CCI^STOCH,1,19.4326953888,5500.0,,
117,2011-07-07,MA5&MA10^MA5&MA15,-1,18.8044834137,79500.0,-2237.0,-0.0281383647798742
118,2011-08-17,MA5&MA10^MA5&MA15,1,15.5796604156,79500.0,,
45,2011-08-18,CCI^STOCH,-1,15.2027330399,5500.0,-1197.0,-0.2176363636363636
