,Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
0,102,2010-09-17,MA5&MA10^MA5&MA15,1,18.9720058441,22500.0,,
1,261,2010-09-24,MA10&MA15^MACD,1,18.0506286621,10500.0,,
2,32,2010-09-27,CCI^STOCH,1,18.2181510925,20000.0,,
3,103,2010-10-18,MA5&MA10^MA5&MA15,-1,18.6788406372,22500.0,-347.0,-0.0154222222222222
4,104,2010-10-21,MA5&MA10^MA5&MA15,1,19.516456604,22500.0,,
5,211,2010-10-21,MA5&MA15^MA10&MA15,1,19.516456604,11000.0,,
6,33,2010-10-28,CCI^STOCH,-1,21.7361392975,20000.0,3862.0,0.1931
7,262,2010-11-09,MA10&MA15^MACD,-1,21.1079273224,10500.0,1778.0,0.1693333333333333
8,105,2010-11-11,MA5&MA10^MA5&MA15,-1,20.2703113556,22500.0,869.0,0.0386222222222222
9,212,2010-11-12,MA5&MA15^MA10&MA15,-1,19.8933849335,11000.0,212.0,0.0192727272727272
10,34,2010-11-19,CCI^STOCH,1,20.8147602081,20000.0,,
11,106,2010-11-22,MA5&MA10^MA5&MA15,1,21.9036617279,22500.0,,
12,213,2010-11-23,MA5&MA15^MA10&MA15,1,22.2805900574,11000.0,,
13,35,2010-11-25,CCI^STOCH,-1,22.0293045044,20000.0,1167.0,0.05835
14,263,2010-11-25,MA10&MA15^MACD,1,22.0293045044,10500.0,,
15,264,2010-12-03,MA10&MA15^MACD,-1,21.3592128754,10500.0,-319.0,-0.0303809523809523
16,214,2010-12-08,MA5&MA15^MA10&MA15,-1,21.3592128754,11000.0,-454.0,-0.0412727272727272
17,107,2010-12-09,MA5&MA10^MA5&MA15,-1,21.6523761749,22500.0,-258.0,-0.0114666666666666
18,36,2010-12-10,CCI^STOCH,1,21.861782074,20000.0,,
19,215,2010-12-13,MA5&MA15^MA10&MA15,1,22.1130657196,11000.0,,
20,265,2010-12-14,MA10&MA15^MACD,1,22.2387084961,10500.0,,
21,266,2011-01-07,MA10&MA15^MACD,-1,24.6259155273,10500.0,1127.0,0.1073333333333333
22,108,2011-01-13,MA5&MA10^MA5&MA15,1,26.1336231232,22500.0,,
23,37,2011-01-14,CCI^STOCH,-1,25.0447235107,20000.0,2911.0,0.14555
24,216,2011-01-17,MA5&MA15^MA10&MA15,-1,23.955821991,11000.0,916.0,0.0832727272727272
25,109,2011-01-18,MA5&MA10^MA5&MA15,-1,24.7515563965,22500.0,-1189.0,-0.0528444444444444
26,38,2011-01-26,CCI^STOCH,1,25.128484726,20000.0,,
27,110,2011-01-27,MA5&MA10^MA5&MA15,1,25.5472927094,22500.0,,
28,217,2011-01-28,MA5&MA15^MA10&MA15,1,25.5472927094,11000.0,,
29,39,2011-02-08,CCI^STOCH,-1,25.0447235107,20000.0,-66.0,-0.0033
30,267,2011-02-11,MA10&MA15^MACD,1,23.5370140076,10500.0,,
31,111,2011-02-14,MA5&MA10^MA5&MA15,-1,24.7934379578,22500.0,-663.0,-0.0294666666666666
32,268,2011-02-17,MA10&MA15^MACD,-1,22.783159256,10500.0,-336.0,-0.032
33,218,2011-02-17,MA5&MA15^MA10&MA15,-1,22.783159256,11000.0,-1190.0,-0.1081818181818181
34,112,2011-03-04,MA5&MA10^MA5&MA15,1,22.4481124878,22500.0,,
35,40,2011-03-23,CCI^STOCH,1,20.5634765625,20000.0,,
36,41,2011-03-24,CCI^STOCH,-1,20.8566417694,20000.0,285.0,0.01425
37,219,2011-03-25,MA5&MA15^MA10&MA15,1,20.689119339,11000.0,,
38,269,2011-03-30,MA10&MA15^MACD,1,20.7728805542,10500.0,,
39,270,2011-05-13,MA10&MA15^MACD,-1,22.531873703,10500.0,889.0,0.0846666666666666
40,113,2011-05-16,MA5&MA10^MA5&MA15,-1,22.2805900574,22500.0,-167.0,-0.0074222222222222
41,220,2011-05-20,MA5&MA15^MA10&MA15,-1,21.3592128754,11000.0,356.0,0.0323636363636363
42,42,2011-05-31,CCI^STOCH,1,22.4062328339,20000.0,,
43,114,2011-06-01,MA5&MA10^MA5&MA15,1,22.0711860657,22500.0,,
44,221,2011-06-02,MA5&MA15^MA10&MA15,1,21.4429721832,11000.0,,
45,43,2011-06-02,CCI^STOCH,-1,21.4429721832,20000.0,-859.0,-0.04295
46,115,2011-06-07,MA5&MA10^MA5&MA15,-1,21.1498088837,22500.0,-939.0,-0.0417333333333333
47,271,2011-06-09,MA10&MA15^MACD,1,21.0241641998,10500.0,,
48,222,2011-06-13,MA5&MA15^MA10&MA15,-1,20.2284297943,11000.0,-623.0,-0.0566363636363636
49,116,2011-06-30,MA5&MA10^MA5&MA15,1,19.3489322662,22500.0,,
50,44,2011-07-01,CCI^STOCH,1,19.4326953888,20000.0,,
51,223,2011-07-04,MA5&MA15^MA10&MA15,1,19.1814098358,11000.0,,
52,117,2011-07-07,MA5&MA10^MA5&MA15,-1,18.8044834137,22500.0,-633.0,-0.0281333333333333
53,272,2011-07-14,MA10&MA15^MACD,-1,17.5061779022,10500.0,-1756.0,-0.1672380952380952
54,224,2011-07-14,MA5&MA15^MA10&MA15,-1,17.5061779022,11000.0,-960.0,-0.0872727272727272
55,118,2011-08-17,MA5&MA10^MA5&MA15,1,15.5796604156,22500.0,,
56,45,2011-08-18,CCI^STOCH,-1,15.2027330399,20000.0,-4353.0,-0.21765
57,225,2011-08-23,MA5&MA15^MA10&MA15,1,15.7471828461,11000.0,,
58,46,2011-08-23,CCI^STOCH,1,15.7471828461,20000.0,,
59,273,2011-08-24,MA10&MA15^MACD,1,15.4121370316,10500.0,,
