,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
0,2010-10-21,MACD^STOCH,1,19.516456604,39500.0,,
1,2010-10-25,MACD^STOCH,-1,20.7728805542,39500.0,2542,0.06435443037974684
2,2010-11-23,MACD^STOCH,1,22.2805900574,39500.0,,
3,2010-11-25,MACD^STOCH,-1,22.0293045044,39500.0,-445,-0.011265822784810127
4,2010-12-14,MACD^STOCH,1,22.2387084961,39500.0,,
5,2010-12-16,MACD^STOCH,-1,22.6156368256,39500.0,669,0.016936708860759493
6,2011-03-22,MACD^STOCH,1,20.6053562164,39500.0,,
7,2011-03-24,MACD^STOCH,-1,20.8566417694,39500.0,481,0.012177215189873417
8,2011-04-21,MACD^STOCH,1,21.7361392975,39500.0,,
9,2011-04-22,MACD^STOCH,-1,22.0711860657,39500.0,608,0.01539240506329114
10,2011-06-30,MACD^STOCH,1,19.3489322662,39500.0,,
11,2011-07-05,MACD^STOCH,-1,18.8463630676,39500.0,-1025,-0.025949367088607594
12,2011-08-16,MACD^STOCH,1,15.3283748627,39500.0,,
13,2011-08-17,MACD^STOCH,-1,15.5796604156,39500.0,647,0.016379746835443038
14,2011-09-09,MACD^STOCH,1,14.6037054062,39500.0,,
15,2011-09-13,MACD^STOCH,-1,14.2812252045,39500.0,-872,-0.022075949367088607
16,2011-09-19,MACD^STOCH,1,14.2351570129,39500.0,,
17,2011-09-20,MACD^STOCH,-1,14.0508832932,39500.0,-511,-0.012936708860759493
18,2011-09-27,MACD^STOCH,1,14.4194307327,39500.0,,
19,2011-10-03,MACD^STOCH,-1,13.8205413818,39500.0,-1640,-0.04151898734177215
20,2011-10-14,MACD^STOCH,1,15.3868694305,39500.0,,
21,2011-10-17,MACD^STOCH,-1,15.7093477249,39500.0,827,0.020936708860759493
22,2011-12-05,MACD^STOCH,1,13.6362667084,39500.0,,
23,2011-12-06,MACD^STOCH,-1,13.4059238434,39500.0,-667,-0.01688607594936709
24,2011-12-21,MACD^STOCH,1,13.5441303253,39500.0,,
25,2011-12-22,MACD^STOCH,-1,13.2216510773,39500.0,-940,-0.02379746835443038
26,2011-12-30,MACD^STOCH,1,14.096950531,39500.0,,
27,2012-01-03,MACD^STOCH,-1,14.4194307327,39500.0,903,0.022860759493670887
28,2012-02-01,MACD^STOCH,1,16.0318279266,39500.0,,
29,2012-02-02,MACD^STOCH,-1,16.5846481323,39500.0,1362,0.034481012658227846
30,2012-02-29,MACD^STOCH,1,18.9802093506,39500.0,,
31,2012-03-01,MACD^STOCH,-1,19.7173042297,39500.0,1533,0.03881012658227848
32,2012-05-02,MACD^STOCH,1,16.3543071747,39500.0,,
33,2012-05-03,MACD^STOCH,-1,16.1700325012,39500.0,-445,-0.011265822784810127
34,2012-06-08,MACD^STOCH,1,13.3598556519,39500.0,,
35,2012-06-11,MACD^STOCH,-1,13.5441303253,39500.0,544,0.013772151898734177
36,2012-07-02,MACD^STOCH,1,14.8801145554,39500.0,,
37,2012-07-05,MACD^STOCH,-1,15.2025947571,39500.0,856,0.02167088607594937
38,2012-08-01,MACD^STOCH,1,15.6632785797,39500.0,,
39,2012-08-03,MACD^STOCH,-1,15.4329366684,39500.0,-580,-0.014683544303797468
40,2012-09-17,MACD^STOCH,1,15.4790058136,39500.0,,
41,2012-09-19,MACD^STOCH,-1,15.7093477249,39500.0,587,0.014860759493670887
42,2012-09-21,MACD^STOCH,1,15.4329366684,39500.0,,
43,2012-09-25,MACD^STOCH,-1,14.9261837006,39500.0,-1297,-0.032835443037974685
44,2012-10-16,MACD^STOCH,1,14.4654989243,39500.0,,
45,2012-10-19,MACD^STOCH,-1,14.649772644,39500.0,503,0.012734177215189874
46,2012-11-01,MACD^STOCH,1,14.649772644,39500.0,,
47,2012-11-02,MACD^STOCH,-1,14.8340473175,39500.0,496,0.012556962025316455
48,2012-11-06,MACD^STOCH,1,15.0183210373,39500.0,,
49,2012-11-08,MACD^STOCH,-1,15.0183210373,39500.0,0,0.0
50,2012-11-26,MACD^STOCH,1,15.5250740051,39500.0,,
51,2012-11-27,MACD^STOCH,-1,15.2947320938,39500.0,-586,-0.014835443037974684
52,2010-09-27,CCI^STOCH,1,18.2181510925,33500.0,,
53,2010-09-29,CCI^STOCH,-1,18.5950775146,33500.0,693,0.020686567164179104
54,2010-10-14,CCI^STOCH,1,18.8463630676,33500.0,,
55,2010-10-21,CCI^STOCH,-1,19.516456604,33500.0,1191,0.03555223880597015
56,2010-11-19,CCI^STOCH,1,20.8147602081,33500.0,,
57,2010-11-22,CCI^STOCH,-1,21.9036617279,33500.0,1752,0.052298507462686564
58,2010-12-10,CCI^STOCH,1,21.861782074,33500.0,,
59,2010-12-13,CCI^STOCH,-1,22.1130657196,33500.0,385,0.011492537313432836
60,2011-01-26,CCI^STOCH,1,25.128484726,33500.0,,
61,2011-01-27,CCI^STOCH,-1,25.5472927094,33500.0,558,0.016656716417910448
62,2011-03-23,CCI^STOCH,1,20.5634765625,33500.0,,
63,2011-03-24,CCI^STOCH,-1,20.8566417694,33500.0,477,0.014238805970149255
64,2011-05-31,CCI^STOCH,1,22.4062328339,33500.0,,
65,2011-06-01,CCI^STOCH,-1,22.0711860657,33500.0,-500,-0.014925373134328358
66,2011-07-01,CCI^STOCH,1,19.4326953888,33500.0,,
67,2011-07-04,CCI^STOCH,-1,19.1814098358,33500.0,-433,-0.012925373134328358
68,2011-07-11,CCI^STOCH,1,19.1814098358,33500.0,,
69,2011-07-12,CCI^STOCH,-1,18.6788406372,33500.0,-877,-0.02617910447761194
70,2011-08-17,CCI^STOCH,1,15.5796604156,33500.0,,
71,2011-08-18,CCI^STOCH,-1,15.2027330399,33500.0,-810,-0.02417910447761194
72,2011-08-23,CCI^STOCH,1,15.7471828461,33500.0,,
73,2011-08-24,CCI^STOCH,-1,15.4121370316,33500.0,-712,-0.021253731343283584
74,2011-09-27,CCI^STOCH,1,14.4194307327,33500.0,,
75,2011-10-03,CCI^STOCH,-1,13.8205413818,33500.0,-1391,-0.041522388059701494
76,2011-10-07,CCI^STOCH,1,14.0048151016,33500.0,,
77,2011-10-11,CCI^STOCH,-1,14.557636261,33500.0,1322,0.03946268656716418
78,2011-10-27,CCI^STOCH,1,15.4790058136,33500.0,,
79,2011-10-31,CCI^STOCH,-1,15.2947320938,33500.0,-398,-0.011880597014925373
80,2011-11-04,CCI^STOCH,1,15.5711431503,33500.0,,
81,2011-11-07,CCI^STOCH,-1,15.2947320938,33500.0,-594,-0.01773134328358209
82,2011-12-12,CCI^STOCH,1,13.5441303253,33500.0,,
83,2011-12-14,CCI^STOCH,-1,13.4059238434,33500.0,-341,-0.010179104477611941
84,2011-12-21,CCI^STOCH,1,13.5441303253,33500.0,,
