Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
436,2010-09-24,MA10&MA15^STOCH,1,18.0506286621,11000.0,,
437,2010-09-28,MA10&MA15^STOCH,-1,18.343793869,11000.0,178.0,0.0161818181818181
438,2010-10-07,MA10&MA15^STOCH,1,19.265171051,11000.0,,
439,2010-10-08,MA10&MA15^STOCH,-1,18.8463630676,11000.0,-239.0,-0.0217272727272727
318,2010-10-21,MA5&MA15^MA10&MA15,1,19.516456604,47000.0,,
242,2010-10-21,MA5&MA15^STOCH,1,19.516456604,27000.0,,
243,2010-10-25,MA5&MA15^STOCH,-1,20.7728805542,27000.0,1738.0,0.0643703703703703
440,2010-10-25,MA10&MA15^STOCH,1,20.7728805542,11000.0,,
319,2010-10-25,MA5&MA15^MA10&MA15,-1,20.7728805542,47000.0,3025.0,0.0643617021276595
441,2010-10-27,MA10&MA15^STOCH,-1,21.3173313141,11000.0,288.0,0.0261818181818181
244,2010-11-23,MA5&MA15^STOCH,1,22.2805900574,27000.0,,
320,2010-11-23,MA5&MA15^MA10&MA15,1,22.2805900574,47000.0,,
442,2010-11-25,MA10&MA15^STOCH,1,22.0293045044,11000.0,,
321,2010-11-25,MA5&MA15^MA10&MA15,-1,22.0293045044,47000.0,-530.0,-0.0112765957446808
245,2010-11-25,MA5&MA15^STOCH,-1,22.0293045044,27000.0,-304.0,-0.0112592592592592
443,2010-11-26,MA10&MA15^STOCH,-1,21.2335681915,11000.0,-397.0,-0.036090909090909
548,2010-12-03,MA15&MA30^STOCH,1,21.3592128754,3000.0,,
549,2010-12-06,MA15&MA30^STOCH,-1,21.610496521,3000.0,35.0,0.0116666666666666
322,2010-12-13,MA5&MA15^MA10&MA15,1,22.1130657196,47000.0,,
246,2010-12-13,MA5&MA15^STOCH,1,22.1130657196,27000.0,,
444,2010-12-14,MA10&MA15^STOCH,1,22.2387084961,11000.0,,
445,2010-12-16,MA10&MA15^STOCH,-1,22.6156368256,11000.0,186.0,0.0169090909090909
323,2010-12-16,MA5&MA15^MA10&MA15,-1,22.6156368256,47000.0,1068.0,0.0227234042553191
247,2010-12-16,MA5&MA15^STOCH,-1,22.6156368256,27000.0,613.0,0.0227037037037037
248,2011-01-28,MA5&MA15^STOCH,1,25.5472927094,27000.0,,
324,2011-01-28,MA5&MA15^MA10&MA15,1,25.5472927094,47000.0,,
325,2011-02-08,MA5&MA15^MA10&MA15,-1,25.0447235107,47000.0,-924.0,-0.0196595744680851
249,2011-02-08,MA5&MA15^STOCH,-1,25.0447235107,27000.0,-531.0,-0.0196666666666666
446,2011-02-11,MA10&MA15^STOCH,1,23.5370140076,11000.0,,
447,2011-02-14,MA10&MA15^STOCH,-1,24.7934379578,11000.0,587.0,0.0533636363636363
250,2011-03-25,MA5&MA15^STOCH,1,20.689119339,27000.0,,
326,2011-03-25,MA5&MA15^MA10&MA15,1,20.689119339,47000.0,,
251,2011-03-28,MA5&MA15^STOCH,-1,20.4797153473,27000.0,-273.0,-0.0101111111111111
327,2011-03-28,MA5&MA15^MA10&MA15,-1,20.4797153473,47000.0,-475.0,-0.0101063829787234
448,2011-03-30,MA10&MA15^STOCH,1,20.7728805542,11000.0,,
449,2011-03-31,MA10&MA15^STOCH,-1,20.4797153473,11000.0,-155.0,-0.014090909090909
550,2011-04-14,MA15&MA30^STOCH,1,21.6942577362,3000.0,,
551,2011-04-15,MA15&MA30^STOCH,-1,21.1079273224,3000.0,-81.0,-0.027
252,2011-06-02,MA5&MA15^STOCH,1,21.4429721832,27000.0,,
328,2011-06-02,MA5&MA15^MA10&MA15,1,21.4429721832,47000.0,,
253,2011-06-03,MA5&MA15^STOCH,-1,21.1916885376,27000.0,-316.0,-0.0117037037037037
329,2011-06-03,MA5&MA15^MA10&MA15,-1,21.1916885376,47000.0,-550.0,-0.0117021276595744
450,2011-06-09,MA10&MA15^STOCH,1,21.0241641998,11000.0,,
451,2011-06-13,MA10&MA15^STOCH,-1,20.2284297943,11000.0,-416.0,-0.0378181818181818
254,2011-07-04,MA5&MA15^STOCH,1,19.1814098358,27000.0,,
330,2011-07-04,MA5&MA15^MA10&MA15,1,19.1814098358,47000.0,,
255,2011-07-05,MA5&MA15^STOCH,-1,18.8463630676,27000.0,-471.0,-0.0174444444444444
331,2011-07-05,MA5&MA15^MA10&MA15,-1,18.8463630676,47000.0,-820.0,-0.0174468085106382
452,2011-07-07,MA10&MA15^STOCH,1,18.8044834137,11000.0,,
453,2011-07-11,MA10&MA15^STOCH,-1,19.1814098358,11000.0,220.0,0.02
332,2011-08-23,MA5&MA15^MA10&MA15,1,15.7471828461,47000.0,,
256,2011-08-23,MA5&MA15^STOCH,1,15.7471828461,27000.0,,
454,2011-08-24,MA10&MA15^STOCH,1,15.4121370316,11000.0,,
333,2011-08-24,MA5&MA15^MA10&MA15,-1,15.4121370316,47000.0,-999.0,-0.0212553191489361
257,2011-08-24,MA5&MA15^STOCH,-1,15.4121370316,27000.0,-574.0,-0.0212592592592592
455,2011-08-26,MA10&MA15^STOCH,-1,15.5796604156,11000.0,119.0,0.0108181818181818
334,2011-09-30,MA5&MA15^MA10&MA15,1,14.3733615875,47000.0,,
258,2011-09-30,MA5&MA15^STOCH,1,14.3733615875,27000.0,,
259,2011-10-03,MA5&MA15^STOCH,-1,13.8205413818,27000.0,-1038.0,-0.0384444444444444
335,2011-10-03,MA5&MA15^MA10&MA15,-1,13.8205413818,47000.0,-1807.0,-0.0384468085106382
456,2011-10-07,MA10&MA15^STOCH,1,14.0048151016,11000.0,,
457,2011-10-11,MA10&MA15^STOCH,-1,14.557636261,11000.0,434.0,0.0394545454545454
336,2011-10-12,MA5&MA15^MA10&MA15,1,14.4194307327,47000.0,,
260,2011-10-12,MA5&MA15^STOCH,1,14.4194307327,27000.0,,
