,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
0,2010-10-21,MACD^STOCH,1,19.516456604,39500.0,,
1,2010-10-28,MACD^STOCH,-1,21.7361392975,39500.0,4492,0.11372151898734177
2,2010-11-23,MACD^STOCH,1,22.2805900574,39500.0,,
3,2010-11-25,MACD^STOCH,-1,22.0293045044,39500.0,-445,-0.011265822784810127
4,2010-12-14,MACD^STOCH,1,22.2387084961,39500.0,,
5,2011-01-14,MACD^STOCH,-1,25.0447235107,39500.0,4983,0.1261518987341772
6,2011-03-22,MACD^STOCH,1,20.6053562164,39500.0,,
7,2011-03-24,MACD^STOCH,-1,20.8566417694,39500.0,481,0.012177215189873417
8,2011-04-21,MACD^STOCH,1,21.7361392975,39500.0,,
9,2011-04-27,MACD^STOCH,-1,22.9088020325,39500.0,2131,0.05394936708860759
10,2011-06-30,MACD^STOCH,1,19.3489322662,39500.0,,
11,2011-08-18,MACD^STOCH,-1,15.2027330399,39500.0,-8464,-0.21427848101265823
12,2011-09-09,MACD^STOCH,1,14.6037054062,39500.0,,
13,2011-10-17,MACD^STOCH,-1,15.7093477249,39500.0,2990,0.07569620253164557
14,2011-12-05,MACD^STOCH,1,13.6362667084,39500.0,,
15,2011-12-28,MACD^STOCH,-1,14.3272943497,39500.0,2001,0.05065822784810126
16,2011-12-30,MACD^STOCH,1,14.096950531,39500.0,,
17,2012-02-08,MACD^STOCH,-1,17.598154068,39500.0,9810,0.24835443037974683
18,2012-02-29,MACD^STOCH,1,18.9802093506,39500.0,,
19,2012-03-02,MACD^STOCH,-1,19.3487567902,39500.0,766,0.019392405063291138
20,2012-05-02,MACD^STOCH,1,16.3543071747,39500.0,,
21,2012-06-18,MACD^STOCH,-1,14.3733615875,39500.0,-4784,-0.12111392405063291
22,2012-07-02,MACD^STOCH,1,14.8801145554,39500.0,,
23,2012-07-06,MACD^STOCH,-1,15.110458374,39500.0,611,0.015468354430379748
24,2012-08-01,MACD^STOCH,1,15.6632785797,39500.0,,
25,2012-08-03,MACD^STOCH,-1,15.4329366684,39500.0,-580,-0.014683544303797468
26,2012-09-17,MACD^STOCH,1,15.4790058136,39500.0,,
27,2012-10-19,MACD^STOCH,-1,14.649772644,39500.0,-2116,-0.05356962025316456
28,2012-11-01,MACD^STOCH,1,14.649772644,39500.0,,
29,2012-11-08,MACD^STOCH,-1,15.0183210373,39500.0,993,0.025139240506329114
30,2012-11-26,MACD^STOCH,1,15.5250740051,39500.0,,
31,2012-11-29,MACD^STOCH,-1,15.4329366684,39500.0,-234,-0.005924050632911393
32,2010-09-27,CCI^STOCH,1,18.2181510925,33500.0,,
33,2010-10-28,CCI^STOCH,-1,21.7361392975,33500.0,6468,0.19307462686567164
34,2010-11-19,CCI^STOCH,1,20.8147602081,33500.0,,
35,2010-11-25,CCI^STOCH,-1,22.0293045044,33500.0,1954,0.058328358208955225
36,2010-12-10,CCI^STOCH,1,21.861782074,33500.0,,
37,2011-01-14,CCI^STOCH,-1,25.0447235107,33500.0,4877,0.1455820895522388
38,2011-01-26,CCI^STOCH,1,25.128484726,33500.0,,
