Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return
0,2010-10-21,MACD^STOCH,1,19.516456604,47000.0,,
240,2010-10-21,MA5&MA15^MA10&MA30,1,19.516456604,11000.0,,
140,2010-10-21,MA5&MA15^STOCH,1,19.516456604,27000.0,,
141,2010-10-28,MA5&MA15^STOCH,-1,21.7361392975,27000.0,3070.0,0.1137037037037037
1,2010-10-28,MACD^STOCH,-1,21.7361392975,47000.0,5345.0,0.1137234042553191
142,2010-11-23,MA5&MA15^STOCH,1,22.2805900574,27000.0,,
2,2010-11-23,MACD^STOCH,1,22.2805900574,47000.0,,
3,2010-11-25,MACD^STOCH,-1,22.0293045044,47000.0,-530.0,-0.0112765957446808
143,2010-11-25,MA5&MA15^STOCH,-1,22.0293045044,27000.0,-304.0,-0.0112592592592592
144,2010-12-13,MA5&MA15^STOCH,1,22.1130657196,27000.0,,
4,2010-12-14,MACD^STOCH,1,22.2387084961,47000.0,,
5,2011-01-14,MACD^STOCH,-1,25.0447235107,47000.0,5930.0,0.1261702127659574
145,2011-01-14,MA5&MA15^STOCH,-1,25.0447235107,27000.0,3579.0,0.1325555555555555
146,2011-01-28,MA5&MA15^STOCH,1,25.5472927094,27000.0,,
147,2011-02-08,MA5&MA15^STOCH,-1,25.0447235107,27000.0,-531.0,-0.0196666666666666
241,2011-02-10,MA5&MA15^MA10&MA30,-1,24.835319519,11000.0,2997.0,0.2724545454545454
6,2011-03-22,MACD^STOCH,1,20.6053562164,47000.0,,
7,2011-03-24,MACD^STOCH,-1,20.8566417694,47000.0,573.0,0.0121914893617021
148,2011-03-25,MA5&MA15^STOCH,1,20.689119339,27000.0,,
242,2011-03-25,MA5&MA15^MA10&MA30,1,20.689119339,11000.0,,
334,2011-04-13,MA10&MA30^STOCH,1,21.4848537445,3000.0,,
8,2011-04-21,MACD^STOCH,1,21.7361392975,47000.0,,
335,2011-04-27,MA10&MA30^STOCH,-1,22.9088020325,3000.0,198.0,0.066
9,2011-04-27,MACD^STOCH,-1,22.9088020325,47000.0,2535.0,0.0539361702127659
149,2011-04-27,MA5&MA15^STOCH,-1,22.9088020325,27000.0,2896.0,0.1072592592592592
243,2011-05-24,MA5&MA15^MA10&MA30,-1,21.5686168671,11000.0,467.0,0.0424545454545454
150,2011-06-02,MA5&MA15^STOCH,1,21.4429721832,27000.0,,
244,2011-06-02,MA5&MA15^MA10&MA30,1,21.4429721832,11000.0,,
10,2011-06-30,MACD^STOCH,1,19.3489322662,47000.0,,
151,2011-08-18,MA5&MA15^STOCH,-1,15.2027330399,27000.0,-7857.0,-0.291
11,2011-08-18,MACD^STOCH,-1,15.2027330399,47000.0,-10071.0,-0.2142765957446808
152,2011-08-23,MA5&MA15^STOCH,1,15.7471828461,27000.0,,
12,2011-09-09,MACD^STOCH,1,14.6037054062,47000.0,,
336,2011-10-14,MA10&MA30^STOCH,1,15.3868694305,3000.0,,
337,2011-10-17,MA10&MA30^STOCH,-1,15.7093477249,3000.0,62.0,0.0206666666666666
13,2011-10-17,MACD^STOCH,-1,15.7093477249,47000.0,3558.0,0.0757021276595744
153,2011-10-17,MA5&MA15^STOCH,-1,15.7093477249,27000.0,-64.0,-0.0023703703703703
245,2011-11-14,MA5&MA15^MA10&MA30,-1,14.4654989243,11000.0,-3579.0,-0.3253636363636363
14,2011-12-05,MACD^STOCH,1,13.6362667084,47000.0,,
246,2011-12-26,MA5&MA15^MA10&MA30,1,13.4980611801,11000.0,,
154,2011-12-26,MA5&MA15^STOCH,1,13.4980611801,27000.0,,
15,2011-12-28,MACD^STOCH,-1,14.3272943497,47000.0,2381.0,0.0506595744680851
155,2011-12-28,MA5&MA15^STOCH,-1,14.3272943497,27000.0,1658.0,0.0614074074074074
338,2011-12-30,MA10&MA30^STOCH,1,14.096950531,3000.0,,
16,2011-12-30,MACD^STOCH,1,14.096950531,47000.0,,
156,2012-02-01,MA5&MA15^STOCH,1,16.0318279266,27000.0,,
157,2012-02-08,MA5&MA15^STOCH,-1,17.598154068,27000.0,2637.0,0.0976666666666666
17,2012-02-08,MACD^STOCH,-1,17.598154068,47000.0,11673.0,0.2483617021276595
339,2012-02-08,MA10&MA30^STOCH,-1,17.598154068,3000.0,745.0,0.2483333333333333
18,2012-02-29,MACD^STOCH,1,18.9802093506,47000.0,,
19,2012-03-02,MACD^STOCH,-1,19.3487567902,47000.0,912.0,0.0194042553191489
247,2012-04-02,MA5&MA15^MA10&MA30,-1,18.058839798,11000.0,3716.0,0.3378181818181818
20,2012-05-02,MACD^STOCH,1,16.3543071747,47000.0,,
158,2012-05-04,MA5&MA15^STOCH,1,17.0914020538,27000.0,,
248,2012-05-04,MA5&MA15^MA10&MA30,1,17.0914020538,11000.0,,
159,2012-06-18,MA5&MA15^STOCH,-1,14.3733615875,27000.0,-4293.0,-0.159
21,2012-06-18,MACD^STOCH,-1,14.3733615875,47000.0,-5692.0,-0.1211063829787234
340,2012-06-22,MA10&MA30^STOCH,1,14.2812252045,3000.0,,
22,2012-07-02,MACD^STOCH,1,14.8801145554,47000.0,,
341,2012-07-06,MA10&MA30^STOCH,-1,15.110458374,3000.0,174.0,0.058
23,2012-07-06,MACD^STOCH,-1,15.110458374,47000.0,727.0,0.0154680851063829
160,2012-08-01,MA5&MA15^STOCH,1,15.6632785797,27000.0,,
24,2012-08-01,MACD^STOCH,1,15.6632785797,47000.0,,
161,2012-08-03,MA5&MA15^STOCH,-1,15.4329366684,27000.0,-397.0,-0.0147037037037037
25,2012-08-03,MACD^STOCH,-1,15.4329366684,47000.0,-691.0,-0.0147021276595744
249,2012-08-29,MA5&MA15^MA10&MA30,-1,15.110458374,11000.0,-1274.0,-0.1158181818181818
26,2012-09-17,MACD^STOCH,1,15.4790058136,47000.0,,
162,2012-09-18,MA5&MA15^STOCH,1,15.3408002853,27000.0,,
250,2012-09-18,MA5&MA15^MA10&MA30,1,15.3408002853,11000.0,,
342,2012-09-27,MA10&MA30^STOCH,1,14.3733615875,3000.0,,
251,2012-10-01,MA5&MA15^MA10&MA30,-1,14.4194307327,11000.0,-660.0,-0.06
252,2012-10-18,MA5&MA15^MA10&MA30,1,14.6037054062,11000.0,,
163,2012-10-19,MA5&MA15^STOCH,-1,14.649772644,27000.0,-1216.0,-0.045037037037037
27,2012-10-19,MACD^STOCH,-1,14.649772644,47000.0,-2517.0,-0.0535531914893617
343,2012-10-19,MA10&MA30^STOCH,-1,14.649772644,3000.0,57.0,0.019
28,2012-11-01,MACD^STOCH,1,14.649772644,47000.0,,
164,2012-11-05,MA5&MA15^STOCH,1,15.2025947571,27000.0,,
344,2012-11-07,MA10&MA30^STOCH,1,15.0183210373,3000.0,,
29,2012-11-08,MACD^STOCH,-1,15.0183210373,47000.0,1182.0,0.0251489361702127
165,2012-11-08,MA5&MA15^STOCH,-1,15.0183210373,27000.0,-327.0,-0.0121111111111111
345,2012-11-08,MA10&MA30^STOCH,-1,15.0183210373,3000.0,0.0,0.0
253,2012-11-22,MA5&MA15^MA10&MA30,-1,14.2812252045,11000.0,-242.0,-0.022
30,2012-11-26,MACD^STOCH,1,15.5250740051,47000.0,,
166,2012-11-27,MA5&MA15^STOCH,1,15.2947320938,27000.0,,
346,2012-11-27,MA10&MA30^STOCH,1,15.2947320938,3000.0,,
31,2012-11-29,MACD^STOCH,-1,15.4329366684,47000.0,-278.0,-0.0059148936170212
167,2012-11-29,MA5&MA15^STOCH,-1,15.4329366684,27000.0,243.0,0.009
347,2012-11-29,MA10&MA30^STOCH,-1,15.4329366684,3000.0,27.0,0.009
