Unnamed: 0,Date,Trading_Strategy,Transaction_Type,Stock_price,Transaction_amount,Return_money,Rate_of_Return,0,1,2,3,4,5,6
62.0,2010-09-17,MA5&MA10^STOCH,1.0,18.9720058441,18000.0,,,,,,,,,
63.0,2010-09-20,MA5&MA10^STOCH,-1.0,18.8463630676,18000.0,-119.0,-0.0066111111111111,,,,,,,
32.0,2010-09-27,CCI^STOCH,1.0,18.2181510925,12000.0,,,,,,,,,
64.0,2010-10-04,MA5&MA10^STOCH,1.0,18.5531978607,18000.0,,,,,,,,,
0.0,2010-10-21,MACD^STOCH,1.0,19.516456604,27500.000000000004,,,,,,,,,
33.0,2010-10-28,CCI^STOCH,-1.0,21.7361392975,12000.0,2317.0,0.1930833333333333,,,,,,,
65.0,2010-10-28,MA5&MA10^STOCH,-1.0,21.7361392975,18000.0,3088.0,0.1715555555555555,,,,,,,
1.0,2010-10-28,MACD^STOCH,-1.0,21.7361392975,27500.000000000004,3127.0,0.1137090909090909,,,,,,,
34.0,2010-11-19,CCI^STOCH,1.0,20.8147602081,12000.0,,,,,,,,,
66.0,2010-11-22,MA5&MA10^STOCH,1.0,21.9036617279,18000.0,,,,,,,,,
2.0,2010-11-23,MACD^STOCH,1.0,22.2805900574,27500.000000000004,,,,,,,,,
67.0,2010-11-25,MA5&MA10^STOCH,-1.0,22.0293045044,18000.0,103.0,0.0057222222222222,,,,,,,
3.0,2010-11-25,MACD^STOCH,-1.0,22.0293045044,27500.000000000004,-310.0,-0.0112727272727272,,,,,,,
35.0,2010-11-25,CCI^STOCH,-1.0,22.0293045044,12000.0,700.0,0.0583333333333333,,,,,,,
374.0,2010-12-03,MA15&MA30^MA5&MA15,1.0,21.3592128754,14000.000000000002,,,,,,,,,
68.0,2010-12-08,MA5&MA10^STOCH,1.0,21.3592128754,18000.0,,,,,,,,,
375.0,2010-12-09,MA15&MA30^MA5&MA15,-1.0,21.6523761749,14000.000000000002,192.0,0.0137142857142857,,,,,,,
36.0,2010-12-10,CCI^STOCH,1.0,21.861782074,12000.0,,,,,,,,,
4.0,2010-12-14,MACD^STOCH,1.0,22.2387084961,27500.000000000004,,,,,,,,,
69.0,2011-01-14,MA5&MA10^STOCH,-1.0,25.0447235107,18000.0,3105.0,0.1725,,,,,,,
5.0,2011-01-14,MACD^STOCH,-1.0,25.0447235107,27500.000000000004,3469.0,0.1261454545454545,,,,,,,
37.0,2011-01-14,CCI^STOCH,-1.0,25.0447235107,12000.0,1747.0,0.1455833333333333,,,,,,,
38.0,2011-01-26,CCI^STOCH,1.0,25.128484726,12000.0,,,,,,,,,
70.0,2011-01-27,MA5&MA10^STOCH,1.0,25.5472927094,18000.0,,,,,,,,,
71.0,2011-02-08,MA5&MA10^STOCH,-1.0,25.0447235107,18000.0,-354.0,-0.0196666666666666,,,,,,,
39.0,2011-02-08,CCI^STOCH,-1.0,25.0447235107,12000.0,-39.0,-0.00325,,,,,,,
72.0,2011-03-04,MA5&MA10^STOCH,1.0,22.4481124878,18000.0,,,,,,,,,
6.0,2011-03-22,MACD^STOCH,1.0,20.6053562164,27500.000000000004,,,,,,,,,
40.0,2011-03-23,CCI^STOCH,1.0,20.5634765625,12000.0,,,,,,,,,
41.0,2011-03-24,CCI^STOCH,-1.0,20.8566417694,12000.0,171.0,0.01425,,,,,,,
73.0,2011-03-24,MA5&MA10^STOCH,-1.0,20.8566417694,18000.0,-1276.0,-0.0708888888888888,,,,,,,
7.0,2011-03-24,MACD^STOCH,-1.0,20.8566417694,27500.000000000004,335.0,0.0121818181818181,,,,,,,
74.0,2011-04-07,MA5&MA10^STOCH,1.0,21.6523761749,18000.0,,,,,,,,,
376.0,2011-04-14,MA15&MA30^MA5&MA15,1.0,21.6942577362,14000.000000000002,,,,,,,,,
8.0,2011-04-21,MACD^STOCH,1.0,21.7361392975,27500.000000000004,,,,,,,,,
75.0,2011-04-27,MA5&MA10^STOCH,-1.0,22.9088020325,18000.0,1044.0,0.058,,,,,,,
