,Date,close
0,2022-01-03,146.3999938965
1,2022-01-04,149.6000061035
10,2022-01-17,152.0
100,2022-06-08,128.8000030518
101,2022-06-09,128.3999938965
102,2022-06-10,127.0999984741
103,2022-06-13,123.5500030518
104,2022-06-14,123.3499984741
105,2022-06-15,122.75
106,2022-06-16,122.5
107,2022-06-17,120.8499984741
108,2022-06-20,119.75
109,2022-06-21,122.1999969482
11,2022-01-18,150.3000030518
110,2022-06-22,119.5
111,2022-06-23,117.9000015259
112,2022-06-24,118.1500015259
113,2022-06-27,120.9499969482
114,2022-06-28,119.8000030518
115,2022-06-29,118.8000030518
116,2022-06-30,115.8000030518
117,2022-07-01,111.5500030518
118,2022-07-04,110.4499969482
119,2022-07-05,111.0
12,2022-01-19,148.5
120,2022-07-06,108.8499984741
121,2022-07-07,112.0999984741
122,2022-07-08,113.25
123,2022-07-11,112.25
124,2022-07-12,109.5500030518
125,2022-07-13,113.4499969482
126,2022-07-14,114.0
127,2022-07-15,115.5
128,2022-07-18,114.1999969482
129,2022-07-19,114.3000030518
13,2022-01-20,149.1000061035
130,2022-07-20,115.0500030518
131,2022-07-21,116.3499984741
132,2022-07-22,116.8000030518
133,2022-07-25,116.6999969482
134,2022-07-26,115.6500015259
135,2022-07-27,116.6999969482
136,2022-07-28,116.9000015259
137,2022-07-29,118.0
138,2022-08-01,117.6500015259
139,2022-08-02,115.5500030518
14,2022-01-21,142.6499938965
140,2022-08-03,116.25
141,2022-08-04,116.5500030518
142,2022-08-05,119.5
143,2022-08-08,119.25
144,2022-08-09,119.1500015259
145,2022-08-10,117.9000015259
146,2022-08-11,120.0500030518
147,2022-08-12,120.8000030518
148,2022-08-15,121.9000015259
149,2022-08-16,122.0999984741
15,2022-01-24,144.0
150,2022-08-17,122.1500015259
151,2022-08-18,121.3499984741
152,2022-08-19,121.5500030518
153,2022-08-22,120.0500030518
154,2022-08-23,118.1999969482
155,2022-08-24,117.9000015259
156,2022-08-25,119.0
157,2022-08-26,119.5999984741
158,2022-08-29,116.5500030518
159,2022-08-30,116.75
16,2022-01-25,141.6499938965
160,2022-08-31,117.5999984741
161,2022-09-01,115.1500015259
162,2022-09-02,113.9000015259
163,2022-09-05,114.1500015259
164,2022-09-06,114.9000015259
165,2022-09-07,112.1999969482
166,2022-09-08,113.0
167,2022-09-12,115.4000015259
168,2022-09-13,116.0
169,2022-09-14,113.6500015259
17,2022-01-26,141.5500030518
170,2022-09-15,113.8499984741
171,2022-09-16,112.5500030518
172,2022-09-19,112.0500030518
173,2022-09-20,113.0500030518
174,2022-09-21,112.0999984741
175,2022-09-22,110.75
176,2022-09-23,109.6999969482
177,2022-09-26,107.6500015259
178,2022-09-27,107.5
179,2022-09-28,105.25
18,2022-02-07,142.3000030518
180,2022-09-29,104.9000015259
181,2022-09-30,103.4499969482
182,2022-10-03,102.1999969482
183,2022-10-04,104.8000030518
184,2022-10-05,107.25
